"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.355681040487769;NA;0.0648856633479174;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-191.312437901765;393.270037093853;7.16545617629077;0.00213696089643916
0.252263907368682;"+";-0.11154130480477;-0.208608101788584;NA;"+";NA;NA;"+";0.0120693047616626;NA;NA;NA;NA;NA;NA;NA;NA;9;-186.6260422167;393.274556343512;7.16997542594908;0.00213213761799078
0.342966994340235;"+";-0.187475161455624;-0.167452899949764;-0.246451178161448;"+";NA;NA;NA;NA;-0.156307330487648;NA;NA;NA;NA;NA;NA;NA;9;-186.633881983624;393.29023587736;7.18565495979709;0.00211548750778638
0.173458711808075;"+";-0.190653726337626;-0.170536304621652;-0.0446745083121962;NA;"+";"+";NA;NA;-0.120002035040662;NA;NA;NA;NA;NA;NA;NA;10;-185.400930045082;393.301860090163;7.19727917260042;0.00210322773137406
0.219459851986865;"+";-0.293922416269625;-0.159757752288258;-0.142051134666507;"+";NA;"+";NA;0.266904237693118;-0.361261583553575;NA;NA;NA;NA;NA;NA;NA;11;-184.138128324222;393.310739407064;7.20615848950132;0.00209391081586805
0.23928523259179;"+";0.144747082168537;-0.15228695867024;-0.119968965477375;NA;"+";"+";NA;0.150696568551754;-0.601933328315007;NA;NA;"+";NA;NA;NA;NA;12;-182.844653049533;393.31721307581;7.21263215824695;0.00208714413059331
0.381240554727332;"+";-0.169494325578902;-0.165170130443178;-0.254340228553587;NA;"+";NA;NA;NA;-0.161469666450612;NA;NA;NA;NA;NA;NA;NA;9;-186.653524816834;393.329521543781;7.22494062621843;0.00207433880116483
-0.0483344435177562;"+";0.272573964977889;-0.167407108737024;0.019131869518562;"+";"+";"+";NA;NA;-0.561614303574003;NA;NA;"+";NA;NA;NA;NA;12;-182.880843396293;393.389593769329;7.28501285176662;0.00201296012976974
0.0778403664449104;"+";-0.622035499095127;-0.211968296701514;NA;"+";"+";NA;NA;0.158222518924164;NA;NA;NA;NA;NA;NA;NA;NA;9;-186.711530995169;393.44553390045;7.34095298288736;0.00195743760694371
0.147516664563974;"+";-0.047943688314603;NA;-0.146828780073034;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-186.732404620448;393.487281151008;7.38270023344563;0.00191700227200059
0.375774309249188;"+";-0.357784516908653;-0.173776510103375;-0.267152077735909;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-186.769330473494;393.5611328571;7.45655193953775;0.00184750632282466
0.659947052966766;"+";-0.139611627260623;-0.163972325631711;-0.339738830048084;"+";NA;NA;"+";NA;-0.123943050756238;NA;NA;NA;NA;NA;NA;NA;10;-185.550697036191;393.601394072382;7.49681315481916;0.00181068674159085
-0.32733025911259;NA;0.00293262839724627;-0.105109675658069;NA;NA;NA;NA;NA;0.0248402642521983;NA;NA;NA;NA;NA;NA;NA;NA;6;-190.349977608046;393.612998694352;7.50841777678949;0.00180021099517907
0.363382018337495;"+";-0.336842594362051;-0.155421745218488;-0.189595943117702;NA;"+";"+";NA;0.26676387003211;-0.319326458313365;NA;NA;NA;NA;NA;NA;NA;11;-184.299007381715;393.632497522051;7.52791660448855;0.00178274527179773
-0.351327624711702;NA;-0.00299535901887178;-0.104318382023888;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-190.363373576557;393.639790631375;7.53520971381198;0.00177625623222554
-0.33684236161226;NA;-0.199577754477681;-0.165389315417255;0.226535420697428;NA;NA;NA;NA;0.205902813763476;-0.371433406631533;NA;NA;NA;NA;NA;NA;NA;8;-188.032020180386;393.664040360773;7.55945944321007;0.00175484940543322
0.697037608178912;"+";-0.284287147210376;-0.168822127247997;-0.360263721312844;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-185.604143278803;393.708286557607;7.60370564004387;0.00171645298919939
-0.408152000590585;NA;-0.0859935679769078;-0.182751961843109;0.239176184163222;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-189.23912058172;393.70901039421;7.60442947664723;0.00171583188584975
1.08402706587766;"+";-0.0612697118112701;-0.161834960141414;-0.616005080953416;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-185.609461288773;393.718922577546;7.61434165998321;0.0017073491038227
-0.153769713707475;"+";0.0346831863689061;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-190.40535068093;393.723744840121;7.61916392255807;0.00170323741987677
-0.360488623719077;NA;-0.0788693569209031;-0.180178794702843;0.23446577263304;NA;NA;NA;NA;-0.00017858330257365;NA;NA;NA;NA;NA;NA;NA;NA;7;-189.279441802785;393.789652836338;7.68507191877563;0.00164802369032851
