(Intercept);pop;scale(log(FGMngg), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(FGMngg), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);scale(log(FGMngg), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(FGMngg), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0,073220207;+;-0,180930076;1,016989886;+;NA;NA;NA;0,043856297;+;NA;NA;NA;NA;NA;NA;8;-782,91;1582,23;6,23;0,01
-0,076662667;+;-0,170741543;1,036862736;+;NA;NA;NA;NA;+;+;NA;NA;NA;NA;NA;8;-782,93;1582,25;6,26;0,01
-0,048043046;NA;-0,178449619;1,025289668;+;NA;NA;NA;0,032654559;+;+;NA;NA;NA;NA;NA;8;-782,95;1582,3;6,3;0,01
-0,165144249;+;-0,451824247;1,16619499;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;8;-782,99;1582,38;6,39;0,01
-0,155539114;+;-0,208623961;1,169341474;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;9;-781,94;1582,39;6,39;0,01
-0,090399706;+;-0,23182694;1,15220669;+;NA;+;NA;0,113637217;+;NA;NA;NA;NA;NA;NA;9;-781,99;1582,49;6,49;0,01
-0,115177157;+;-0,461738795;1,157904234;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-783,09;1582,58;6,59;0,01
-0,115875728;+;-0,447813307;1,161966906;+;NA;+;NA;NA;NA;+;NA;NA;NA;NA;NA;8;-783,09;1582,59;6,59;0,01
-0,122594418;+;NA;1,170668671;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-786,23;1582,62;6,62;0,01
-0,100036009;+;-0,20042982;1,210778541;+;NA;+;NA;NA;+;+;NA;NA;NA;NA;NA;9;-782,06;1582,63;6,63;0,01
-0,093148034;+;-0,243556742;1,158452889;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;9;-782,09;1582,68;6,68;0,01
-0,165029357;+;-0,110690261;1,282220533;+;NA;+;NA;-0,525699175;+;+;NA;NA;NA;+;NA;11;-780,13;1583,01;7,01;0
-0,099061641;+;NA;1,078616307;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-786,57;1583,3;7,3;0
-0,04436195;NA;NA;1,060230558;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;5;-786,71;1583,58;7,58;0
-0,132136669;+;-0,25663724;1,037699485;+;+;NA;+;NA;+;NA;NA;NA;NA;NA;NA;9;-782,69;1583,88;7,88;0
-0,130978366;+;-0,414608814;1,014170291;+;NA;NA;+;0,091262393;NA;NA;NA;NA;NA;NA;NA;8;-783,75;1583,89;7,9;0
-0,140994918;+;-0,479348633;1,035140821;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;8;-783,75;1583,91;7,91;0
-0,091780761;+;-0,472768738;1,015439898;+;+;NA;NA;0,092857595;NA;NA;NA;NA;NA;NA;NA;8;-783,76;1583,92;7,92;0
-0,08820209;+;-0,413895378;0,984783843;+;NA;NA;NA;0,0922314;NA;+;NA;NA;NA;NA;NA;8;-783,8;1584;8;0
-0,13255247;+;-0,412174091;1,006026867;+;NA;NA;+;NA;NA;+;NA;NA;NA;NA;NA;8;-783,81;1584,02;8,03;0
-0,157857595;+;-0,463231175;1,155902649;+;NA;+;+;0,162321849;NA;NA;NA;NA;NA;NA;NA;9;-782,76;1584,02;8,03;0
-0,093200766;+;-0,470486154;1,003786737;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;8;-783,82;1584,05;8,05;0
-0,124466644;+;-0,177128657;1,022611333;+;NA;NA;+;0,03983001;+;NA;NA;NA;NA;NA;NA;9;-782,8;1584,1;8,1;0
-0,130576462;+;-0,165479622;1,049444138;+;NA;NA;+;NA;+;+;NA;NA;NA;NA;NA;9;-782,81;1584,11;8,12;0
-0,072940068;+;-0,256393263;1,024474684;+;+;NA;NA;0,042008048;+;NA;NA;NA;NA;NA;NA;9;-782,82;1584,13;8,14;0
-0,076527252;+;-0,246968639;1,046102385;+;+;NA;NA;NA;+;+;NA;NA;NA;NA;NA;9;-782,83;1584,16;8,16;0
-0,096895848;+;-0,462754866;1,148245489;NA;+;+;NA;0,122946757;NA;NA;+;NA;NA;NA;NA;9;-782,84;1584,19;8,19;0
-0,168765149;+;-0,067068501;1,152645227;+;NA;NA;+;-0,629087736;+;+;NA;NA;NA;+;NA;11;-780,74;1584,21;8,22;0
-0,110199445;+;-0,459202281;1,158865974;+;NA;+;NA;0,164253621;NA;+;NA;NA;NA;NA;NA;9;-782,86;1584,22;8,22;0
-0,152660839;+;-0,087867107;1,151435775;+;+;NA;NA;-0,63033494;+;+;NA;NA;NA;+;NA;11;-780,74;1584,22;8,23;0
-0,108660933;+;-0,467077939;1,147859533;+;+;+;NA;0,162843958;NA;NA;NA;NA;NA;NA;NA;9;-782,86;1584,22;8,23;0
-0,151055377;+;-0,228621904;1,162168211;+;NA;+;+;0,110636403;+;NA;NA;NA;NA;NA;NA;10;-781,84;1584,29;8,29;0
-0,074737993;+;-0,177521457;1,029848998;+;NA;NA;NA;0,04379823;+;+;NA;NA;NA;NA;NA;9;-782,91;1584,32;8,32;0
-0,167244014;+;-0,195092736;1,232903328;+;NA;+;+;NA;+;+;NA;NA;NA;NA;NA;10;-781,88;1584,38;8,38;0
-0,157131309;+;-0,250255246;1,168533437;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;10;-781,91;1584,44;8,44;0
-0,165963869;+;-0,473198546;1,165791295;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;9;-782,98;1584,47;8,47;0
-0,167254244;+;-0,451556087;1,177180863;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;9;-782,99;1584,48;8,48;0
-0,096813748;+;-0,220774911;1,206161114;+;NA;+;NA;0,116030963;+;+;NA;NA;NA;NA;NA;10;-781,95;1584,51;8,51;0
-0,089859055;+;-0,258688325;1,151566328;+;+;+;NA;0,111176146;+;NA;NA;NA;NA;NA;NA;10;-781,98;1584,58;8,58;0
-0,111401954;+;NA;1,16886722;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-786,22;1584,68;8,68;0
-0,115646983;+;-0,461568109;1,161336791;+;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;9;-783,09;1584,69;8,69;0
-0,099296572;+;-0,232464357;1,209699254;+;+;+;NA;NA;+;+;NA;NA;NA;NA;NA;10;-782,04;1584,71;8,71;0
-0,124725961;+;-0,077192898;1,038345209;+;+;NA;+;NA;+;NA;NA;+;NA;NA;NA;10;-782,12;1584,86;8,86;0
-0,192941225;+;-0,110871746;1,290110647;+;NA;+;+;-0,510922083;+;+;NA;NA;NA;+;NA;12;-780,1;1585,08;9,08;0
-0,16585006;+;-0,093458762;1,283255321;+;+;+;NA;-0,528671181;+;+;NA;NA;NA;+;NA;12;-780,13;1585,14;9,14;0
-0,129884612;+;NA;1,081849459;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;6;-786,53;1585,28;9,29;0
-0,204875876;+;-0,449440306;1,372481568;+;NA;+;+;NA;NA;+;NA;NA;+;NA;NA;10;-782,34;1585,3;9,3;0
-0,098133832;+;NA;1,071846122;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;6;-786,56;1585,36;9,36;0
-0,149901764;+;-0,067773757;1,170777909;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;11;-781,32;1585,39;9,39;0
-0,197550827;+;-0,219568849;1,384537764;+;NA;+;+;NA;+;+;NA;NA;+;NA;NA;11;-781,47;1585,68;9,68;0
