"(Intercept)";"pop";"scale(log(mean_fgm), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(mean_fgm), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(mean_fgm), scale = F):scale(mass1, scale = F)";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"scale(log(mean_fgm), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(mean_fgm), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.0898816716125825;"+";-0.37310971979072;NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.5281909862453;201.601836517945;8.75901206501965;0.00105470198782741
0.0499590934096937;"+";-0.274624220724088;NA;-0.167178835769202;NA;NA;NA;NA;NA;0.0807060321471217;NA;NA;NA;NA;NA;NA;NA;7;-92.528789217843;201.603032981141;8.760208528215;0.00105407122046345
-0.659245856603747;NA;-0.645370927310755;-0.310795492521194;0.274721001514986;"+";NA;NA;NA;-0.0322564379020972;NA;"+";NA;NA;NA;NA;NA;NA;9;-89.6603318520663;201.606377989847;8.76355353692134;0.00105230975519845
-0.37255061149613;"+";-3.3271407765625;-0.39119493008723;0.260571671576217;"+";"+";NA;NA;NA;1.19183161359739;NA;"+";NA;NA;NA;NA;NA;11;-86.5079827132161;201.615965426432;8.77314097350668;0.00104727735027809
-0.00671739929425784;"+";-0.335568642264664;NA;-0.123795987688605;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.5454255579477;201.63630566135;8.79348120842445;0.00103668039409619
-0.383744852722291;"+";-3.34138862894161;-0.391636304575767;0.252920128143486;"+";"+";"+";NA;NA;1.19241916837686;NA;NA;NA;NA;NA;NA;NA;11;-86.5182349103399;201.63646982068;8.79364536775429;0.00103659530720881
0.10831761033418;"+";-0.350540161901755;NA;-0.187610855083652;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.5684108806041;201.682276306663;8.83945185373722;0.00101312372666944
-0.205342180526297;"+";-0.702436968306137;NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.65434470464;201.854143954735;9.011319501809;0.000929698008730546
-0.325484727456623;NA;-0.266954656604065;NA;0.00731170673600584;"+";NA;NA;NA;NA;0.122168898431988;NA;NA;NA;NA;NA;NA;NA;7;-92.6807535747758;201.906961695006;9.06413724208062;0.000905467098494068
0.264502334183764;"+";NA;NA;-0.213834070971811;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.7002711601739;201.945996865802;9.10317241287675;0.000887965913080486
