"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.232724693053764;"+";-0.222270276866295;0.101402827042859;"+";NA;"+";"+";0.0959966052549894;NA;"+";NA;NA;NA;NA;NA;12;-1274.23805421432;2572.96208973705;7.97341091346698;0.00131041624824009
-0.238330009449121;"+";-0.206730478893058;0.275347905516187;"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;11;-1275.31327676961;2573.0371289669;8.04845014331113;0.00126216085776583
-0.181398708218207;"+";NA;0.297896741926423;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-1278.42617506799;2573.07526035269;8.0865815291013;0.00123832483365505
-0.197523498081093;"+";-0.229469243597143;0.100849012643746;"+";"+";"+";NA;0.0984838643035554;NA;"+";NA;NA;NA;NA;NA;12;-1274.30185128331;2573.08968387503;8.10100505143964;0.00122942645575961
-0.245041936084742;"+";-0.157728769158727;0.12667649667042;"+";"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;12;-1274.30824645398;2573.10247421637;8.11379539278369;0.00122158915090835
-0.024260289532101;NA;NA;0.314236376062446;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;7;-1279.46917587482;2573.11145839571;8.12277957211836;0.00121611396961539
-0.243302346371073;"+";-0.172803669991056;0.131989497574767;"+";NA;"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;12;-1274.31958419317;2573.12514969475;8.13647087116124;0.00120781731001364
-0.207781831715153;"+";-0.158304301742472;0.135202093760153;"+";"+";"+";NA;NA;"+";"+";NA;NA;NA;NA;NA;12;-1274.38464762452;2573.25527655746;8.26659773387382;0.00113173451318583
-0.0221939037950123;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-1281.58785364504;2573.26815721303;8.27947838944601;0.00112446919258959
-0.270149812955345;"+";-0.219998890682708;0.304140881086007;"+";"+";NA;"+";-0.191853889442645;"+";"+";NA;"+";NA;"+";NA;15;-1271.30148597183;2573.35414565258;8.3654668289937;0.00107714807350252
-0.27401741683892;"+";-0.255008324635379;0.0747296746953603;"+";"+";"+";"+";-0.14873348431345;"+";"+";NA;NA;"+";"+";NA;16;-1270.27135974247;2573.39538406174;8.40670523815288;0.00105516554693866
-0.258196696231418;"+";-0.260933851920569;0.112909940581585;"+";"+";"+";"+";-0.06840748589363;"+";"+";"+";NA;NA;"+";NA;16;-1270.27932349147;2573.41131155975;8.42263273616527;0.00104679584470153
-0.229176515456105;"+";NA;0.129737523958905;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;9;-1277.58832570238;2573.45572117219;8.4670423486059;0.00102380810942865
-0.196349032249446;"+";NA;0.148579914703797;"+";NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-1277.63753232488;2573.55413441721;8.56545559361894;0.000974649356930444
-0.245794918182588;"+";-0.211895503007841;0.128093368803675;"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;12;-1274.54194158125;2573.56986447091;8.5811856473224;0.000967013779936703
-0.273538258652336;"+";-0.231604098470015;0.140529176998578;"+";"+";"+";"+";-0.162042673459937;"+";"+";NA;"+";NA;"+";NA;16;-1270.40704422794;2573.66675303269;8.67807420910185;0.000921284106367203
