(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0.155174276999411;+;-0.0544910836954012;0.308617742735299;NA;+;+;NA;0.512833903358125;NA;NA;NA;NA;NA;NA;NA;10;-652.096669106245;1324.85202084722;7.95766007260067;0.00235552667317451
-0.101852527117459;+;-0.0093062168754615;0.542172203954094;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;9;-653.17778566049;1324.89288475382;7.99852397919767;0.00230788700524186
0.118154578818518;+;0.115956854913706;0.337917783959069;+;NA;NA;+;0.530083942208523;NA;+;NA;NA;NA;NA;NA;11;-651.053468841209;1324.89973047521;8.00536970059125;0.00230000093368061
-0.0578065732928778;+;-0.030238293724727;0.265933934506769;+;+;NA;NA;0.518944804377747;NA;NA;NA;NA;NA;NA;NA;10;-652.140396172994;1324.93947498072;8.04511420610015;0.00225474588297677
0.0854446613588403;+;0.0230693354836103;0.339596598951392;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;10;-652.169947741728;1324.99857811819;8.10421734356783;0.00218908950753153
0.11539193921497;+;0.0991854737165371;NA;+;+;NA;+;NA;+;NA;NA;NA;NA;NA;NA;10;-652.171353224395;1325.00138908352;8.10702830890136;0.00218601494130358
0.0777060596009581;NA;0.255048246322494;0.422651410800453;+;NA;NA;NA;0.382943857527774;+;+;NA;NA;NA;NA;NA;10;-652.202401339323;1325.06348531338;8.16912453875807;0.00211918612103162
0.127698264719362;+;0.110902523590491;0.236933396331995;+;NA;+;+;0.547272971692958;NA;NA;NA;NA;NA;NA;NA;11;-651.144122850693;1325.08103849418;8.18667771955984;0.00210066827311397
0.108972337486818;+;0.00313347524997384;0.0881701828430968;+;NA;+;+;NA;NA;+;NA;NA;+;NA;NA;12;-650.120871643998;1325.18150232414;8.28714154952149;0.00199775410966675
-0.163342969196662;+;-0.0821254233460885;0.34523493006376;NA;+;+;NA;0.306104478270548;NA;NA;+;NA;NA;NA;NA;11;-651.211282998112;1325.21535878902;8.32099801439858;0.00196422029861498
0.101355510666992;+;0.360360062447001;0.266924528490721;+;+;NA;+;0.457644365796463;+;NA;NA;+;NA;NA;NA;13;-649.073315642385;1325.24632916997;8.35196839534638;0.00193403826355208
-0.0934238897708667;+;-0.0191179087855241;0.383023206868078;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-653.380529524416;1325.29837248167;8.40401170704922;0.00188436053695109
-0.104086632791209;+;0.272498476435796;0.59078864523601;+;NA;NA;NA;NA;+;+;NA;NA;NA;NA;NA;10;-652.327178925285;1325.3130404853;8.41867971068041;0.00187059118728786
0.0735130792775994;+;0.143367182471713;0.374187851904529;+;+;NA;+;NA;+;NA;NA;NA;NA;NA;NA;11;-651.267076867686;1325.32694652817;8.43258575354616;0.00185763003845994
-0.0727857748158234;+;0.0709116526001889;0.386907412032124;+;NA;NA;NA;0.496749157466536;NA;+;NA;NA;NA;NA;NA;10;-652.34352457317;1325.34573178107;8.45137100645184;0.00184026369886488
-0.0864629648922368;+;0.131602962024821;0.3952067219219;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;10;-652.345466703114;1325.34961604096;8.45525526633969;0.00183669313600143
0.0511209205751574;+;0.267258472544513;0.552643553517147;+;NA;NA;+;NA;+;+;NA;NA;NA;NA;NA;11;-651.294648518284;1325.38208982936;8.48772905474198;0.00180711174869241
-0.0682127351840334;+;0.0826897256884645;NA;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;9;-653.434712539449;1325.40673851173;8.51237773711409;0.00178497696541993
-0.0652127951389718;+;0.0617530609077003;0.288148797632826;+;NA;+;NA;0.521164934642734;NA;NA;NA;NA;NA;NA;NA;10;-652.457911206541;1325.57450504781;8.68014427319326;0.00164135520084483
0.0859103561836473;+;0.282347481004677;0.134061302040247;+;NA;+;+;NA;+;+;NA;NA;+;NA;NA;13;-649.246091546489;1325.59188097817;8.69752020355486;0.00162715693035826
0.122319179251533;+;0.140176742132197;0.24480738269671;+;+;NA;+;0.513283389088555;+;NA;NA;NA;NA;NA;NA;12;-650.39122351426;1325.72220606466;8.82784529004516;0.00152450799863035
0.0886772289990015;NA;0.254148878866015;0.387508627577128;+;NA;NA;NA;0.483235042860604;+;+;NA;NA;NA;+;NA;11;-651.471766015033;1325.73632482286;8.84196404823911;0.00151378381630238
0.144369984664353;+;0.0809528287718977;0.0119710551364369;+;NA;+;+;0.47485132187721;NA;+;NA;NA;+;NA;NA;13;-649.375280929565;1325.85025974433;8.95589896970796;0.00142995774420003
